sensor_data,time,measure_name,measure_value
senor_1,2024-03-29 19:01:59.830000000,temperature,14.80000019
senor_1,2024-03-29 19:01:59.830000000,humidity,91.0
senor_1,2024-03-29 19:01:58.841000000,temperature,14.80000019
senor_1,2024-03-29 19:01:58.841000000,humidity,91.0
senor_1,2024-03-29 19:01:57.872000000,temperature,14.69999981
senor_1,2024-03-29 19:01:57.872000000,humidity,91.0
senor_1,2024-03-29 19:01:56.812000000,temperature,14.69999981
senor_1,2024-03-29 19:01:56.812000000,humidity,91.0
senor_1,2024-03-29 19:01:55.761000000,temperature,14.60000038
senor_1,2024-03-29 19:01:55.761000000,humidity,91.0
senor_1,2024-03-29 19:01:54.778000000,temperature,14.60000038
senor_1,2024-03-29 19:01:54.778000000,humidity,91.0
senor_1,2024-03-29 19:01:53.774000000,temperature,14.5
senor_1,2024-03-29 19:01:53.774000000,humidity,91.0
senor_1,2024-03-29 19:01:52.818000000,temperature,14.5
senor_1,2024-03-29 19:01:52.818000000,humidity,91.0
senor_1,2024-03-29 19:01:51.719000000,temperature,14.5
senor_1,2024-03-29 19:01:51.719000000,humidity,91.0
senor_1,2024-03-29 19:01:50.721000000,temperature,14.5
senor_1,2024-03-29 19:01:50.721000000,humidity,91.0
senor_1,2024-03-29 19:01:49.708000000,temperature,14.39999962
senor_1,2024-03-29 19:01:49.708000000,humidity,91.0
senor_1,2024-03-29 19:01:48.745000000,temperature,14.39999962
senor_1,2024-03-29 19:01:48.745000000,humidity,91.0
senor_1,2024-03-29 19:01:47.657000000,temperature,14.30000019
senor_1,2024-03-29 19:01:47.657000000,humidity,90.0
senor_1,2024-03-29 19:01:46.650000000,temperature,14.30000019
senor_1,2024-03-29 19:01:46.650000000,humidity,90.0
senor_1,2024-03-29 19:01:45.627000000,temperature,14.19999981
senor_1,2024-03-29 19:01:45.627000000,humidity,90.0
senor_1,2024-03-29 19:01:44.665000000,temperature,14.19999981
senor_1,2024-03-29 19:01:44.665000000,humidity,90.0
senor_1,2024-03-29 19:01:43.605000000,temperature,14.10000038
senor_1,2024-03-29 19:01:43.605000000,humidity,90.0
